"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","668.00","644.00","675.00","639.00","24.53M","3.73%"
"2024- 01- 25","644.00","656.00","666.00","635.00","23.63M","-1.83%"
"2024- 01- 24","656.00","664.00","665.00","639.00","26.03M","-1.06%"
"2024- 01- 23","663.00","662.00","673.00","622.00","47.26M","0.15%"
"2024- 01- 22","662.00","695.00","698.00","661.00","29.47M","-4.75%"
"2024- 01- 21","695.00","710.00","720.00","693.00","14.01M","-2.11%"
"2024- 01- 20","710.00","699.00","716.00","688.00","20.61M","1.43%"
"2024- 01- 19","700.00","697.00","700.00","656.00","32.35M","0.43%"
"2024- 01- 18","697.00","727.00","727.00","692.00","27.76M","-4.13%"
"2024- 01- 17","727.00","736.00","740.00","721.00","18.75M","-1.09%"
"2024- 01- 16","735.00","725.00","751.00","725.00","19.98M","1.52%"
"2024- 01- 15","724.00","722.00","742.00","718.00","22.46M","0.14%"
"2024- 01- 14","723.00","756.00","757.00","720.00","23.35M","-4.37%"
"2024- 01- 13","756.00","760.00","766.00","727.00","30.31M","-0.53%"
"2024- 01- 12","760.00","799.00","807.00","735.00","67.22M","-4.88%"
"2024- 01- 11","799.00","773.00","842.00","763.00","113.19M","3.50%"
"2024- 01- 10","772.00","689.00","806.00","658.00","91.57M","12.05%"
"2024- 01- 09","689.00","727.00","730.00","668.00","62.58M","-5.10%"
"2024- 01- 08","726.00","667.00","729.00","624.00","93.35M","9.01%"
"2024- 01- 07","666.00","707.00","719.00","656.00","34.95M","-5.67%"
"2024- 01- 06","706.00","728.00","731.00","686.00","34.73M","-3.02%"
"2024- 01- 05","728.00","768.00","770.00","709.00","36.58M","-5.21%"
"2024- 01- 04","768.00","762.00","776.00","739.00","39.15M","0.66%"
"2024- 01- 03","763.00","812.00","824.00","650.00","108.26M","-6.03%"
"2024- 01- 02","812.00","830.00","846.00","810.00","47.18M","-2.17%"
"2024- 01- 01","830.00","805.00","832.00","801.00","28.84M","3.23%"
"2023- 12- 31","804.00","807.00","816.00","799.00","28.72M","-0.50%"
"2023- 12- 30","808.00","815.00","822.00","801.00","34.18M","-0.98%"
"2023- 12- 29","816.00","824.00","831.00","797.00","76.63M","-0.85%"
"2023- 12- 28","823.00","845.00","898.00","819.00","143.88M","-2.49%"
"2023- 12- 27","844.00","816.00","857.00","783.00","73.68M","3.56%"
"2023- 12- 26","815.00","831.00","836.00","777.00","70.68M","-1.93%"
"2023- 12- 25","831.00","799.00","845.00","792.00","62.60M","4.14%"
"2023- 12- 24","798.00","829.00","852.00","798.00","76.24M","-3.74%"
"2023- 12- 23","829.00","844.00","845.00","814.00","44.11M","-1.78%"
"2023- 12- 22","844.00","862.00","884.00","823.00","112.73M","-2.20%"
"2023- 12- 21","863.00","801.00","869.00","792.00","99.33M","7.74%"
"2023- 12- 20","801.00","788.00","824.00","776.00","86.89M","1.65%"
"2023- 12- 19","788.00","820.00","838.00","776.00","88.30M","-4.14%"
"2023- 12- 18","822.00","796.00","822.00","741.00","119.00M","3.27%"
"2023- 12- 17","796.00","834.00","847.00","792.00","78.17M","-4.44%"
"2023- 12- 16","833.00","831.00","855.00","810.00","88.34M","0.12%"
"2023- 12- 15","832.00","880.00","897.00","831.00","134.38M","-5.56%"
"2023- 12- 14","881.00","922.00","947.00","864.00","275.09M","-4.45%"
"2023- 12- 13","922.00","803.00","935.00","762.00","302.09M","14.82%"
"2023- 12- 12","803.00","761.00","833.00","760.00","197.01M","5.66%"
"2023- 12- 11","760.00","813.00","817.00","722.00","178.40M","-6.63%"
"2023- 12- 10","814.00","795.00","837.00","779.00","214.56M","2.39%"
"2023- 12- 09","795.00","744.00","876.00","740.00","616.75M","7.00%"
"2023- 12- 08","743.00","624.00","779.00","619.00","318.19M","19.07%"
"2023- 12- 07","624.00","610.00","629.00","594.00","59.28M","2.30%"
"2023- 12- 06","610.00","582.00","627.00","574.00","94.21M","4.99%"
"2023- 12- 05","581.00","551.00","583.00","537.00","42.96M","5.44%"
"2023- 12- 04","551.00","529.00","555.00","529.00","44.93M","4.16%"
"2023- 12- 03","529.00","529.00","538.00","519.00","19.82M","-0.19%"
"2023- 12- 02","530.00","513.00","530.00","513.00","14.11M","3.11%"
