"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","57,500,000","55,093,000","58,146,000","54,957,000","5.24K","4.35%"
"2024- 01- 25","55,101,000","55,200,000","55,585,000","54,760,000","2.87K","-0.17%"
"2024- 01- 24","55,194,000","55,408,000","55,840,000","54,446,000","3.61K","-0.35%"
"2024- 01- 23","55,389,000","54,689,000","55,575,000","53,146,000","7.70K","1.28%"
"2024- 01- 22","54,690,000","57,386,000","57,540,000","54,661,000","6.32K","-4.70%"
"2024- 01- 21","57,387,000","57,550,000","57,940,000","57,350,000","2.00K","-0.28%"
"2024- 01- 20","57,550,000","57,739,000","57,791,000","57,247,000","2.13K","-0.33%"
"2024- 01- 19","57,739,000","57,284,000","58,169,000","55,950,000","5.63K","0.79%"
"2024- 01- 18","57,284,000","58,776,000","58,900,000","56,756,000","4.27K","-2.54%"
"2024- 01- 17","58,777,000","59,196,000","59,274,000","58,270,000","2.84K","-0.68%"
"2024- 01- 16","59,179,000","58,405,000","59,577,000","58,173,000","3.75K","1.40%"
"2024- 01- 15","58,364,000","57,380,000","59,339,000","57,346,000","3.97K","1.71%"
"2024- 01- 14","57,380,000","58,961,000","59,251,000","57,319,000","3.95K","-2.69%"
"2024- 01- 13","58,967,000","59,314,000","59,851,000","58,188,000","5.54K","-0.79%"
"2024- 01- 12","59,435,000","63,560,000","63,820,000","58,200,000","11.52K","-6.48%"
"2024- 01- 11","63,550,000","63,621,000","66,768,000","62,257,000","14.39K","-0.11%"
"2024- 01- 10","63,622,000","62,014,000","65,000,000","59,750,000","16.44K","2.60%"
"2024- 01- 09","62,007,000","63,011,000","64,340,000","60,897,000","9.88K","-1.59%"
"2024- 01- 08","63,010,000","59,180,000","63,410,000","57,820,000","11.16K","6.60%"
"2024- 01- 07","59,108,000","59,325,000","59,874,000","58,630,000","3.28K","-0.37%"
"2024- 01- 06","59,328,000","59,388,000","59,511,000","58,651,000","2.48K","-0.04%"
"2024- 01- 05","59,351,000","59,480,000","59,692,000","57,600,000","4.82K","-0.15%"
"2024- 01- 04","59,443,000","58,581,000","60,162,000","57,360,000","6.25K","1.47%"
"2024- 01- 03","58,582,000","60,229,000","60,798,000","54,479,000","16.31K","-2.70%"
"2024- 01- 02","60,206,000","58,842,000","60,997,000","58,840,000","8.22K","2.32%"
"2024- 01- 01","58,839,000","57,047,000","58,843,000","57,047,000","3.16K","3.14%"
"2023- 12- 31","57,047,000","56,650,000","57,436,000","56,454,000","2.31K","0.74%"
"2023- 12- 30","56,627,000","56,451,000","57,147,000","56,101,000","2.30K","0.31%"
"2023- 12- 29","56,450,000","56,909,000","57,300,000","56,000,000","4.27K","-0.80%"
"2023- 12- 28","56,907,000","57,920,000","58,401,000","56,701,000","3.96K","-1.73%"
"2023- 12- 27","57,908,000","57,030,000","58,207,000","56,350,000","3.97K","1.54%"
"2023- 12- 26","57,031,000","58,042,000","58,139,000","56,351,000","4.74K","-1.75%"
"2023- 12- 25","58,045,000","58,002,000","58,640,000","57,466,000","4.69K","0.08%"
"2023- 12- 24","58,001,000","59,275,000","59,600,000","58,000,000","3.72K","-2.10%"
"2023- 12- 23","59,245,000","59,532,000","59,700,000","59,000,000","2.34K","-0.48%"
"2023- 12- 22","59,532,000","59,479,000","60,410,000","59,098,000","4.79K","0.09%"
"2023- 12- 21","59,479,000","59,327,000","60,000,000","58,925,000","4.49K","0.22%"
"2023- 12- 20","59,350,000","57,840,000","59,870,000","57,580,000","6.25K","2.60%"
"2023- 12- 19","57,845,000","58,072,000","58,942,000","57,260,000","4.74K","-0.39%"
"2023- 12- 18","58,072,000","56,710,000","58,183,000","55,006,000","9.36K","2.40%"
"2023- 12- 17","56,711,000","57,935,000","58,016,000","56,700,000","3.12K","-2.11%"
"2023- 12- 16","57,935,000","58,029,000","58,548,000","57,585,000","2.55K","-0.16%"
"2023- 12- 15","58,028,000","58,727,000","58,955,000","57,642,000","3.77K","-1.20%"
"2023- 12- 14","58,735,000","59,082,000","59,490,000","58,003,000","4.55K","-0.49%"
"2023- 12- 13","59,027,000","57,595,000","59,919,000","56,511,000","5.62K","2.47%"
