"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","32,930.0","32,050.0","33,270.0","31,520.0","2.47M","2.78%"
"2024- 01- 25","32,040.0","31,660.0","32,480.0","30,740.0","2.40M","1.30%"
"2024- 01- 24","31,630.0","32,130.0","32,280.0","31,130.0","2.28M","-1.49%"
"2024- 01- 23","32,110.0","31,780.0","32,980.0","30,150.0","5.01M","1.04%"
"2024- 01- 22","31,780.0","33,860.0","34,040.0","31,570.0","3.42M","-6.14%"
"2024- 01- 21","33,860.0","34,090.0","35,160.0","33,760.0","2.55M","-0.67%"
"2024- 01- 20","34,090.0","35,140.0","35,140.0","33,360.0","2.47M","-2.88%"
"2024- 01- 19","35,100.0","33,920.0","35,390.0","31,940.0","6.20M","3.51%"
"2024- 01- 18","33,910.0","36,030.0","36,070.0","33,670.0","5.18M","-5.78%"
"2024- 01- 17","35,990.0","37,440.0","37,750.0","35,480.0","4.08M","-3.85%"
"2024- 01- 16","37,430.0","36,770.0","38,200.0","36,030.0","7.40M","1.85%"
"2024- 01- 15","36,750.0","36,530.0","38,350.0","36,020.0","8.00M","0.57%"
"2024- 01- 14","36,540.0","39,540.0","39,830.0","36,020.0","8.44M","-7.56%"
"2024- 01- 13","39,530.0","40,300.0","41,400.0","38,020.0","11.63M","-1.86%"
"2024- 01- 12","40,280.0","40,640.0","44,390.0","38,330.0","25.71M","-0.93%"
"2024- 01- 11","40,660.0","37,990.0","43,920.0","36,580.0","40.59M","7.08%"
"2024- 01- 10","37,970.0","28,590.0","37,970.0","27,420.0","21.85M","32.99%"
"2024- 01- 09","28,550.0","27,370.0","28,980.0","26,310.0","5.62M","4.39%"
"2024- 01- 08","27,350.0","25,910.0","27,680.0","24,700.0","2.39M","5.52%"
"2024- 01- 07","25,920.0","26,840.0","27,130.0","25,590.0","1.08M","-3.43%"
"2024- 01- 06","26,840.0","27,080.0","27,300.0","26,060.0","1.12M","-0.85%"
"2024- 01- 05","27,070.0","27,620.0","27,760.0","26,240.0","1.21M","-1.99%"
"2024- 01- 04","27,620.0","27,610.0","27,920.0","26,600.0","1.76M","0.00%"
"2024- 01- 03","27,620.0","29,540.0","30,010.0","24,920.0","4.21M","-6.47%"
"2024- 01- 02","29,530.0","29,940.0","30,710.0","29,510.0","2.69M","-1.37%"
"2024- 01- 01","29,940.0","29,550.0","30,020.0","29,080.0","1.45M","1.29%"
"2023- 12- 31","29,560.0","29,960.0","30,140.0","29,080.0","1.70M","-1.34%"
"2023- 12- 30","29,960.0","30,140.0","31,160.0","29,810.0","3.16M","-0.66%"
"2023- 12- 29","30,160.0","29,950.0","31,460.0","29,410.0","6.92M","0.63%"
