"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","429.0000","421.0000","433.0000","416.0000","9.00M","1.66%"
"2024- 01- 25","422.0000","433.0000","437.0000","417.0000","11.19M","-2.09%"
"2024- 01- 24","431.0000","417.0000","440.0000","415.0000","31.32M","3.36%"
"2024- 01- 23","417.0000","419.0000","428.0000","392.0000","17.30M","-0.48%"
"2024- 01- 22","419.0000","448.0000","449.0000","417.0000","15.40M","-6.47%"
"2024- 01- 21","448.0000","455.0000","460.0000","448.0000","10.00M","-1.54%"
"2024- 01- 20","455.0000","455.0000","475.0000","447.0000","25.70M","0.00%"
"2024- 01- 19","455.0000","476.0000","477.0000","443.0000","30.33M","-4.61%"
"2024- 01- 18","477.0000","467.0000","502.0000","460.0000","146.09M","2.14%"
"2024- 01- 17","467.0000","479.0000","498.0000","461.0000","73.97M","-2.30%"
"2024- 01- 16","478.0000","435.0000","486.0000","433.0000","136.05M","9.89%"
"2024- 01- 15","435.0000","431.0000","439.0000","430.0000","7.49M","0.93%"
"2024- 01- 14","431.0000","440.0000","443.0000","430.0000","7.95M","-2.05%"
"2024- 01- 13","440.0000","437.0000","442.0000","423.0000","10.25M","0.23%"
"2024- 01- 12","439.0000","460.0000","464.0000","428.0000","23.53M","-4.57%"
"2024- 01- 11","460.0000","446.0000","463.0000","435.0000","22.40M","3.14%"
"2024- 01- 10","446.0000","419.0000","452.0000","402.0000","20.01M","6.19%"
"2024- 01- 09","420.0000","442.0000","443.0000","407.0000","17.79M","-4.98%"
"2024- 01- 08","442.0000","432.0000","445.0000","395.0000","23.52M","2.31%"
"2024- 01- 07","432.0000","461.0000","461.0000","421.0000","19.43M","-6.29%"
"2024- 01- 06","461.0000","451.0000","468.0000","446.0000","27.08M","2.22%"
"2024- 01- 05","451.0000","465.0000","467.0000","445.0000","14.89M","-3.22%"
"2024- 01- 04","466.0000","474.0000","479.0000","445.0000","23.41M","-1.69%"
"2024- 01- 03","474.0000","501.0000","506.0000","429.0000","55.60M","-5.39%"
"2024- 01- 02","501.0000","483.0000","504.0000","482.0000","30.70M","3.73%"
"2024- 01- 01","483.0000","479.0000","484.0000","476.0000","11.01M","0.84%"
"2023- 12- 31","479.0000","479.0000","484.0000","475.0000","8.02M","-0.21%"
"2023- 12- 30","480.0000","481.0000","489.0000","476.0000","11.39M","0.00%"
"2023- 12- 29","480.0000","485.0000","490.0000","470.0000","18.39M","-1.03%"
"2023- 12- 28","485.0000","500.0000","504.0000","483.0000","20.68M","-2.81%"
"2023- 12- 27","499.0000","488.0000","500.0000","476.0000","19.48M","2.25%"
"2023- 12- 26","488.0000","502.0000","506.0000","476.0000","34.24M","-2.79%"
"2023- 12- 25","502.0000","490.0000","508.0000","489.0000","30.11M","2.45%"
"2023- 12- 24","490.0000","496.0000","506.0000","488.0000","22.63M","-1.41%"
"2023- 12- 23","497.0000","501.0000","503.0000","490.0000","12.10M","-0.80%"
"2023- 12- 22","501.0000","511.0000","512.0000","488.0000","27.85M","-1.76%"
