"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","731.00","709.00","737.00","702.00","160.21M","3.25%"
"2024- 01- 25","708.00","713.00","714.00","698.00","125.36M","-0.70%"
"2024- 01- 24","713.00","720.00","720.00","705.00","130.35M","-0.83%"
"2024- 01- 23","719.00","729.00","736.00","689.00","320.07M","-1.37%"
"2024- 01- 22","729.00","755.00","758.00","723.00","185.67M","-3.44%"
"2024- 01- 21","755.00","764.00","768.00","754.00","72.17M","-1.05%"
"2024- 01- 20","763.00","754.00","766.00","745.00","86.64M","1.06%"
"2024- 01- 19","755.00","765.00","769.00","729.00","195.79M","-1.44%"
"2024- 01- 18","766.00","782.00","782.00","760.00","145.05M","-2.05%"
"2024- 01- 17","782.00","791.00","791.00","777.00","111.23M","-1.14%"
"2024- 01- 16","791.00","791.00","796.00","782.00","135.76M","0.00%"
"2024- 01- 15","791.00","792.00","810.00","783.00","152.24M","-0.13%"
"2024- 01- 14","792.00","791.00","815.00","786.00","145.33M","0.13%"
"2024- 01- 13","791.00","791.00","798.00","772.00","154.75M","0.13%"
"2024- 01- 12","790.00","825.00","827.00","779.00","318.73M","-4.24%"
"2024- 01- 11","825.00","819.00","849.00","800.00","479.68M","0.86%"
"2024- 01- 10","818.00","763.00","835.00","739.00","434.57M","7.21%"
"2024- 01- 09","763.00","776.00","777.00","748.00","237.85M","-1.55%"
"2024- 01- 08","775.00","742.00","800.00","733.00","481.70M","4.59%"
"2024- 01- 07","741.00","767.00","778.00","734.00","172.74M","-3.26%"
"2024- 01- 06","766.00","774.00","774.00","754.00","113.59M","-1.03%"
"2024- 01- 05","774.00","791.00","793.00","755.00","200.04M","-2.15%"
"2024- 01- 04","791.00","796.00","800.00","769.00","247.11M","-0.75%"
"2024- 01- 03","797.00","837.00","853.00","701.00","692.34M","-4.89%"
"2024- 01- 02","838.00","839.00","851.00","835.00","202.15M","-0.12%"
"2024- 01- 01","839.00","832.00","840.00","825.00","109.77M","0.96%"
"2023- 12- 31","831.00","836.00","841.00","826.00","99.72M","-0.48%"
"2023- 12- 30","835.00","836.00","845.00","831.00","110.81M","0.12%"
"2023- 12- 29","834.00","847.00","848.00","829.00","184.71M","-1.53%"
"2023- 12- 28","847.00","846.00","873.00","839.00","318.81M","0.00%"
